2116,2962
Von 334,176,136,56
den 506,175,121,58
Thurgauervereinen 658,176,677,78
der 1371,177,114,57
Schweiz 1518,177,273,58
<EOS>
<EOP>
Thurgauerverein 275,352,255,34
Basel 544,354,81,24
In 212,439,27,22
der 257,440,40,21
Zeit 316,440,49,21
vom 383,448,55,13
1. 457,441,20,20
<EOS>
Oktober 488,441,104,21
1953 611,442,56,20
bis 686,442,35,20
Ende 181,473,65,21
September 260,473,135,28
1954 407,475,56,21
hat 474,475,42,20
der 527,475,39,21
Verein 576,475,84,21
aufs 671,476,50,21
neue 179,515,59,13
bewiesen, 249,507,121,26
daß 381,508,46,21
er 439,516,22,13
sich 472,509,48,20
seiner 531,509,73,21
Aufgabe 614,509,107,27
als 181,542,32,20
Erhalter 226,542,108,21
und 345,543,48,20
Verbreiter 405,543,131,21
der 549,544,39,20
Liebe 600,544,69,21
zur 682,552,39,13
Heimat 181,576,97,21
unter 287,581,69,16
den 366,577,45,21
Basler 421,577,79,21
Thurgauern 510,577,151,28
ver- 671,586,50,13
pflichtet 180,610,106,27
fühlt. 298,610,68,21
<EOS>
Am 210,643,45,22
18. 268,644,33,21
<EOS>
Oktober 312,643,105,22
1953 428,645,55,20
wurde 494,645,78,20
die 583,645,36,20
übliche 629,645,92,21
Herbstfahrt, 181,677,160,26
diesmal 354,678,96,21
allerdings 461,678,122,28
ins 595,679,35,21
«Neb- 644,679,76,21
lige», 179,711,69,28
zum 275,720,54,12
sonst 355,717,64,16
so 445,720,25,13
sonnigen 497,713,111,27
Schloß 637,712,83,22
Dorneck, 181,746,115,24
oberhalb 319,747,110,20
Dornach, 452,747,116,25
in 589,748,25,21
nichts- 634,748,87,20
destoweniger 181,781,166,27
froher 374,781,76,21
Stimmung 481,781,132,28
ausge- 642,789,78,20
führt. 179,814,72,21
<EOS>
Am 210,848,45,21
7. 278,849,19,20
<EOS>
November 310,848,132,22
erfreute 465,848,99,22
uns 586,857,43,13
unser 652,857,69,13
Ehrenpräsident, 180,882,208,27
Hans 406,882,66,21
Oswald, 489,882,100,25
mit 607,883,43,20
dem 667,883,54,21
Abschlußvortrag: 179,916,227,27
«Die 434,917,58,20
Geschichte 519,916,137,22
des 681,917,39,21
Thurgaus». 180,950,145,27
<EOS>
Der 345,950,46,21
Anlaß 408,950,76,21
wurde 502,951,78,21
mit 598,952,43,19
einer 659,952,62,20
kleinen 180,985,92,21
Gedenkfeier 300,985,152,21
zum 478,993,53,13
Eintritt 556,986,99,20
des 682,986,39,21
Kantons 181,1019,109,21
als 312,1019,32,21
gleichberechtigtes 366,1019,228,27
Mitglied 618,1019,101,27
in 179,1052,24,21
die 216,1052,35,22
Eidgenossenschaft 264,1052,236,28
verbunden. 511,1052,143,22
<EOS>
Am 210,1085,45,22
31. 269,1086,35,21
<EOS>
Dezember 316,1086,128,21
überreichten 456,1086,163,22
Ehren- 632,1087,88,21
Präsident 179,1120,121,27
Hans 312,1120,65,21
Oswald, 389,1120,100,26
als 502,1120,32,21
Initiant, 547,1121,107,25
Prä- 665,1121,55,21
sident 180,1154,77,21
Ernst 268,1154,72,21
Huldi 352,1154,72,21
und 436,1154,48,21
einige 496,1155,73,27
Vorstands- 580,1155,140,21
mitglieder 180,1188,130,28
anderer 326,1189,96,20
Thurgauervereine 437,1189,228,27
